Cluster,Cluster Name,Video Title,Views,Likes,Comments,Video ID
1,Niche Engagers,The Truth About Speed Reading Nobody Talks About,13755,567,32,vid_1_018
1,Niche Engagers,Advanced Time Management Techniques Only Experts Know,19820,693,36,vid_1_019
2,Viral Performers,I Was Wrong All Along (Not Clickbait),1773290,134932,1023,vid_2_000
2,Viral Performers,This Setup Changed My Life Forever,1999238,157325,528,vid_2_001
2,Viral Performers,You Won't Believe What Happened When I Optimize...,1043585,92597,332,vid_2_002
2,Viral Performers,We Ate Only One Food for 24 Hours Straight!,1109556,106676,578,vid_2_003
2,Viral Performers,I Was Wrong All Along (Not Clickbait),1200235,99013,664,vid_2_004
2,Viral Performers,I Quit My Job to Do This (Not Clickbait),1542335,145323,861,vid_2_005
2,Viral Performers,This System Changed My Life Forever,1568550,152470,484,vid_2_006
2,Viral Performers,I Tried Bill Gates's Workout Regimen for Two Weeks - Here's What Happened,1984346,164330,1046,vid_2_007
2,Viral Performers,We Worked Without Sleep for 24 Hours Straight!,2627880,207979,698,vid_2_008
2,Viral Performers,I Tried Warren Buffett's Productivity System for 24 Hours - Here's What Happened,2709466,223591,782,vid_2_009
2,Viral Performers,This Setup Changed My Life Forever,2015602,157382,599,vid_2_010
2,Viral Performers,We Lived in the Woods for 24 Hours Straight!,2384250,190015,971,vid_2_011
2,Viral Performers,I Tried Elon Musk's Morning Routine for 24 Hours - Here's What Happened,2641704,216923,596,vid_2_012
2,Viral Performers,I Tried Elon Musk's Productivity System for 7 Days - Here's What Happened,1039353,102764,312,vid_2_013
2,Viral Performers,I Tried Warren Buffett's Productivity System for 5 Minutes - Here's What Happened,1765313,161293,457,vid_2_014
2,Viral Performers,I Tried Elon Musk's Productivity System for Two Weeks - Here's What Happened,1781239,126657,790,vid_2_015
2,Viral Performers,This Setup Changed My Life Forever,2020545,166353,430,vid_2_016
2,Viral Performers,You Won't Believe What Happened When I Optimize...,2480415,241215,733,vid_2_017
2,Viral Performers,I Tried Tim Ferriss's Diet for 7 Days - Here's What Happened,2561729,220124,971,vid_2_018
2,Viral Performers,I Tried Bill Gates's Workout Regimen for 5 Minutes - Here's What Happened,1681669,129928,788,vid_2_019
3,Anomalous Content,Unlisted: Meeting Footage Raw,7,-16,0,vid_3_000
3,Anomalous Content,Test Video - Please Ignore,5,-23,0,vid_3_001
3,Anomalous Content,Test Video - Please Ignore,4,-97,0,vid_3_002
3,Anomalous Content,Deleted Scene from {content},5,-85,0,vid_3_003
3,Anomalous Content,Deleted Scene from {content},0,-72,0,vid_3_004
3,Anomalous Content,Unlisted: Live Event Footage Raw,5,-79,0,vid_3_005
3,Anomalous Content,Video Removed Due to Copyright Claim,2,-19,0,vid_3_006
3,Anomalous Content,Deleted Scene from {content},3,-18,0,vid_3_007
3,Anomalous Content,Private: Public Speaking Discussion (Draft),9,-66,0,vid_3_008
3,Anomalous Content,Unlisted: Conference Footage Raw,2,-19,0,vid_3_009
3,Anomalous Content,Test Video - Please Ignore,6,-51,0,vid_3_010
3,Anomalous Content,Test Video - Please Ignore,8,-32,0,vid_3_011
3,Anomalous Content,Deleted Scene from {content},7,-38,0,vid_3_012
3,Anomalous Content,Deleted Scene from {content},1,0,0,vid_3_013
3,Anomalous Content,Test Video - Please Ignore,8,-88,0,vid_3_014
3,Anomalous Content,Test Video - Please Ignore,1,-22,0,vid_3_015
3,Anomalous Content,Video Removed Due to Copyright Claim,9,-98,0,vid_3_016
3,Anomalous Content,Private: Reading Discussion (Draft),6,-15,0,vid_3_017
3,Anomalous Content,Video Removed Due to Copyright Claim,9,-59,0,vid_3_018
3,Anomalous Content,Unlisted: Conference Footage Raw,0,-1,0,vid_3_019
